Brand,CPU,CPU_BRAND,RAM(GB),RAM_TYPE,GPU,SSD(GB),HDD(GB),USD,,Summary Statistics,
ASUS,Intel Core i3 (7th Gen),Intel,4,DDR4,HD 620,0,1024,275.88,,,
Lenovo,AMD Dual-Core Ryzen 3,AMD,4,DDR4,Radeon Vega 3,0,1024,275.88,,,
ASUS,AMD Dual-Core Athlon,AMD,4,DDR4,Radeon,0,1024,275.88,,,
Zebronics,Intel Core i3 (11th Gen),Intel,8,LPDDR4,UHD,512,0,275.88,,,
Lenovo,Intel Celeron Dual-Core,Intel,8,DDR4,Integrated,256,0,275.88,,,
ASUS,Intel Pentium Quad-Core,Intel,4,DDR3,HD Graphics,0,1024,275.88,,,
AVITA,AMD Dual-Core A9 APU,AMD,8,DDR4,Radeon R5,256,0,275.88,,,
Lenovo,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,0,1024,275.89,,,
HP,Intel Celeron Dual-Core,Intel,8,DDR4,Integrated,256,0,275.99,,,
Acer,Intel Pentium Quad-Core,Intel,4,DDR3,HD 505,0,500,275.99,,,
Acer,Intel Celeron Dual-Core,Intel,2,DDR3,HD 500,0,500,275.99,,,
HP,Intel Celeron Dual-Core,Intel,4,DDR3,HD 400,0,1024,278.93,,,
Acer,Intel Pentium Dual-Core,Intel,4,DDR4,HD 610,0,500,279.19,,,
Acer,AMD Dual-Core Athlon,AMD,4,DDR4,Radeon Graphics,0,1024,281.04,,,
Lenovo,Intel Core i3 (6th Gen),Intel,4,DDR4,HD 520,0,1024,281.41,,,
Lenovo,AMD Dual-Core A4 APU,AMD,4,DDR4,Radeon R5,0,1024,281.88,,,
Lenovo,Intel Core i3 (7th Gen),Intel,4,DDR4,HD 620,0,1024,282,,,
HP,AMD Dual-Core Ryzen 3,AMD,4,DDR4,Radeon,0,1024,282.52,,,
ASUS,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,512,0,284.72,,,
ASUS,Intel Celeron Dual-Core,Intel,4,DDR4,UHD 600,0,1024,285.65,,,
Dell,Intel Pentium Quad-Core,Intel,8,DDR4,UHD,256,0,285.83,,,
Lenovo,Intel Celeron Dual-Core,Intel,4,DDR4,UHD,256,0,285.83,,,
Lenovo,Intel Celeron Dual-Core,Intel,4,DDR4,UHD,256,0,287.39,,,
HP,Intel Pentium Quad-Core,Intel,4,DDR3,HD 405,0,1024,287.42,,,
Lenovo,AMD Dual-Core A9 APU,AMD,4,DDR4,Radeon R5,0,1024,287.88,,,
HP,AMD Dual-Core A6 APU,AMD,4,DDR4,Radeon R4,0,1024,287.88,,,
ASUS,AMD Quad-Core A12 APU,AMD,4,DDR4,Radeon R7,0,1024,287.88,,,
Lenovo,AMD Dual-Core A6 APU,AMD,4,DDR4,Radeon R4,0,1024,287.88,,,
HP,AMD Quad-Core A6 APU,AMD,4,DDR3,Radeon R4,0,1024,287.88,,,
ASUS,Intel Celeron Dual-Core,Intel,4,DDR4,UHD 600,256,0,287.88,,,
Dell,AMD Dual-Core APU,AMD,4,DDR4,Radeon R2,0,1024,287.88,,,
Acer,Intel Pentium Quad-Core,Intel,4,DDR4,UHD 605,256,0,287.99,,,
HP,AMD Dual-Core Ryzen 3,AMD,8,DDR4,Radeon,512,0,287.99,,,
Lenovo,AMD Dual-Core Athlon,AMD,4,DDR4,Radeon Graphics,256,0,288.6,,,
HP,AMD Dual-Core A9 APU,AMD,4,DDR4,Radeon R5,256,0,289.21,,,
ASUS,Intel Pentium Quad-Core,Intel,4,DDR4,UHD,0,1024,289.74,,,
HP,AMD Dual-Core APU,AMD,4,DDR3,Radeon R2,0,1024,292.02,,,
Lenovo,AMD Quad-Core Ryzen 5,AMD,8,DDR4,Radeon Vega 8,0,1024,292.45,,,
HP,AMD Dual-Core Ryzen 3,AMD,4,DDR4,Radeon Vega 3,0,1024,292.8,,,
Lenovo,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,256,0,293.56,,,
Acer,Intel Core i3 (6th Gen),Intel,4,DDR3,HD 520,0,1024,293.88,,,
Dell,Intel Pentium Quad-Core,Intel,4,DDR4,UHD 605,256,0,293.88,,,
HP,AMD Quad-Core APU,AMD,4,DDR3,Radeon R2,0,1024,293.99,,,
Acer,Intel Pentium Dual-Core,Intel,4,DDR4,HD 610,0,1024,295.32,,,
Xiaomi,Intel Core i5 (10th Gen),Intel,8,DDR4,GeForce MX250,512,0,295.7,,,
Acer,Intel Pentium Quad-Core,Intel,4,DDR3,HD 505,0,1024,297.36,,,
HP,Intel Celeron Dual-Core,Intel,4,DDR3,HD 400,0,1024,297.84,,,
HP,AMD Quad-Core Ryzen 5,AMD,8,DDR4,Radeon Vega 8,512,0,297.97,,,
ASUS,Intel Celeron Dual-Core,Intel,4,DDR4,UHD,256,0,298.68,,,
ASUS,Intel Core i3 (5th Gen),Intel,4,DDR3,HD 4400,0,1024,298.8,,,
HP,AMD Dual-Core A6 APU,AMD,4,DDR4,Radeon R4,0,1024,298.96,,,
HP,Intel Pentium Quad-Core,Intel,4,DDR3,HD 405,0,1024,299.32,,,
Infinix,Intel Celeron Quad-Core,Intel,8,LPDDR4X,UHD,512,0,299.4,,,
Lenovo,AMD Dual-Core A6 APU,AMD,4,DDR4,Radeon R5,0,1024,299.88,,,
HP,Intel Pentium Quad-Core,Intel,4,DDR4,UHD 605,0,1024,299.88,,,
HP,AMD Quad-Core Ryzen 5,AMD,4,DDR4,Radeon Vega 8,0,1024,299.88,,,
Infinix,Intel Celeron Quad-Core,Intel,8,LPDDR4X,UHD,256,0,299.88,,,
HP,AMD Dual-Core Athlon,AMD,8,DDR4,Integrated,0,1024,299.88,,,
Wings,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,256,0,299.88,,,
Lenovo,Intel Celeron Dual-Core,Intel,8,DDR4,UHD 600,256,0,299.88,,,
Lenovo,Intel Core i3 (7th Gen),Intel,4,DDR4,HD 620,0,1024,299.88,,,
HP,AMD Dual-Core A9 APU,AMD,4,DDR4,Radeon R5,0,1024,299.88,,,
Acer,AMD Dual-Core Ryzen 3,AMD,8,DDR4,Radeon,256,0,299.88,,,
Lenovo,Intel Core i3 (7th Gen),Intel,4,DDR4,HD 620,0,1024,299.88,,,
Lenovo,AMD Dual-Core A6 APU,AMD,4,DDR4,Radeon R4,0,1024,299.88,,,
ASUS,AMD Quad-Core A8 APU,AMD,4,DDR3,Radeon R5,0,1024,299.99,,,
Lenovo,AMD Dual-Core Athlon,AMD,4,DDR4,Radeon,0,1024,299.99,,,
Acer,Intel Pentium Dual-Core,Intel,4,DDR4,HD 610,0,1024,299.99,,,
Lenovo,AMD Dual-Core A6 APU,AMD,4,DDR4,Radeon R4,0,1024,300.18,,,
Lenovo,AMD Dual-Core Athlon,AMD,8,DDR5,Radeon,512,0,302.28,,,
Lenovo,Intel Celeron Dual-Core,Intel,4,DDR4,Integrated,256,0,302.4,,,
Lenovo,Intel Celeron Dual-Core,Intel,4,DDR4,UHD,256,0,302.4,,,
ASUS,Intel Core i3 (7th Gen),Intel,4,DDR4,HD 620,0,1024,303.18,,,
HP,Intel Core i3 (10th Gen),Intel,8,DDR4,UHD,256,0,303.49,,,
Dell,Intel Core i3 (6th Gen),Intel,4,DDR4,HD 520,0,1024,304.6,,,
HP,AMD Dual-Core A6 APU,AMD,4,DDR4,Radeon R4,0,1024,304.76,,,
HP,Intel Celeron Dual-Core,Intel,8,DDR4,UHD,256,0,305.39,,,
ASUS,AMD Dual-Core Ryzen 3,AMD,8,DDR4,Integrated,256,0,305.87,,,
Lenovo,Intel Celeron Dual-Core,Intel,8,DDR4,UHD,256,0,305.88,,,
HP,AMD Dual-Core Ryzen 3,AMD,8,DDR4,Radeon,512,0,305.99,,,
HP,AMD Dual-Core Ryzen 3,AMD,8,DDR4,Radeon,512,0,305.99,,,
HP,AMD Quad-Core A8 APU,AMD,4,DDR3,Radeon R5,0,1024,307.19,,,
ASUS,Intel Core i3 (6th Gen),Intel,4,DDR3,HD 620,0,1024,309.48,,,
Lenovo,AMD Quad-Core A8 APU,AMD,4,DDR3,R5,0,500,310.68,,,
Lenovo,Intel Core i3 (7th Gen),Intel,4,DDR4,Geforce MX150,128,1024,311.22,,,
Lenovo,Intel Celeron Dual-Core,Intel,4,DDR4,UHD 600,256,0,311.88,,,
Acer,Intel Pentium Quad-Core,Intel,4,DDR3,HD 505,0,500,311.88,,,
