Brand,CPU,CPU_BRAND,RAM(GB),RAM_TYPE,GPU,SSD(GB),HDD(GB),USD
ASUS,Intel Core i3 (13th Gen),Intel,8,DDR4,UHD,512,0,515.88
MSI,Intel Core i7 (12th Gen),Intel,8,DDR4,Iris Xe,512,0,779.88
Lenovo,Intel Core i5 (10th Gen),Intel,8,DDR4,UHD,512,0,612
MSI,Intel Core i7 (11th Gen),Intel,8,DDR4,GeForce RTX 3050,512,0,935.88
Acer,Intel Core i5 (12th Gen),Intel,16,LPDDR4X,Iris Xe,512,0,743.88
Lenovo,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD Graphics,512,0,563.88
ASUS,Intel Core i5 (11th Gen),Intel,16,DDR4,Iris Xe Graphics,512,0,623.88
Acer,AMD Hexa-Core Ryzen 5,AMD,8,DDR5,GeForce RTX 3050,512,0,785.88
Lenovo,Intel Core i5 (12th Gen),Intel,16,DDR5,GeForce RTX 4050,512,0,899.88
ASUS,Intel Core i5 (10th Gen),Intel,8,DDR4,Integrated,256,0,522
Lenovo,Intel Core i5 (11th Gen),Intel,8,DDR4,GeForce RTX 3050,512,0,773.99
ASUS,Intel Core i5 (10th Gen),Intel,16,DDR4,GeForce GTX 1650,512,0,816
MSI,Intel Core i7 (8th Gen),Intel,8,DDR4,GeForce GTX 1050,0,1024,863.88
ASUS,AMD Octa-Core Ryzen 7,AMD,16,DDR4,Radeon Vega 7,512,0,833.88
Lenovo,AMD Octa-Core Ryzen 7,AMD,8,DDR4,GeForce RTX 3050,512,0,763.74
Lenovo,AMD Hexa-Core Ryzen 5,AMD,16,DDR4,Radeon,512,0,635.88
Acer,Intel Core i5 (12th Gen),Intel,8,DDR4,GeForce GTX 3050,512,0,735.77
Lenovo,AMD Octa-Core Ryzen 7,AMD,16,DDR5,GeForce RTX 3050,512,0,935.88
Lenovo,AMD Hexa-Core Ryzen 5,AMD,16,DDR4,Radeon,512,0,695.88
Lenovo,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,512,0,635.88
HP,Intel Core i5 (11th Gen),Intel,16,DDR4,GeForce MX450,512,0,983.99
ASUS,AMD Hexa-Core Ryzen 5,AMD,16,DDR4,GeForce RTX 3050,512,0,882
HP,AMD Quad-Core Ryzen 5,AMD,8,LPDDR5,Radeon,512,0,521.99
Dell,Intel Core i5 (11th Gen),Intel,8,DDR4,MX350,512,0,599.99
Lenovo,AMD Hexa-Core Ryzen 5,AMD,16,DDR4,Radeon,512,0,626.28
Infinix,Intel Core i7 (11th Gen),Intel,16,LPDDR4X,Iris Xe,512,0,695.88
Lenovo,AMD Octa-Core Ryzen 7,AMD,16,LPDDR4X,Radeon,512,0,779.88
MSI,Intel Core i5 (13th Gen),Intel,16,DDR4,Iris Xe,512,0,623.88
ASUS,AMD Hexa-Core Ryzen 5,AMD,16,LPDDR4X,Radeon,512,0,875.88
HP,Intel Core i5 (13th Gen),Intel,16,DDR4,Iris Xe,512,0,839.99
MSI,Intel Core i7 (13th Gen),Intel,16,DDR4,Iris Xe,512,0,719.88
Lenovo,AMD Octa-Core Ryzen 7,AMD,16,DDR4,Radeon,512,0,587.88
Acer,AMD Octa-Core Ryzen 7,AMD,16,DDR5,GeForce RTX 3050,512,0,862.8
Dell,Intel Core i5 (11th Gen),Intel,8,DDR4,UHD,256,0,635.88
HP,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,Radeon,512,0,613.2
Acer,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,512,0,767.92
ASUS,AMD Hexa-Core Ryzen 5,AMD,16,LPDDR4X,Radeon,1024,0,959.88
Lenovo,AMD Octa-Core Ryzen 7,AMD,16,DDR4,GeForce RTX 3050,512,0,983.88
ASUS,Intel Core i5 (13th Gen),Intel,16,DDR4,Iris Xe,512,0,779.88
HP,Intel Core i5 (13th Gen),Intel,16,DDR4,Iris Xe,512,0,839.99
Dell,Intel Core i3 (12th Gen),Intel,8,DDR5,UHD,512,0,671.88
Dell,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,256,0,542.4
Dell,Intel Core i5 (12th Gen),Intel,16,DDR4,Integrated,512,0,959.99
Dell,Intel Core i5 (13th Gen),Intel,8,LPDDR5,Iris Xe,1024,0,742.68
Dell,Intel Core i5 (13th Gen),Intel,16,LPDDR5,Iris Xe,1024,0,839.88
Dell,Intel Core i5 (13th Gen),Intel,16,LPDDR5,Iris Xe,512,0,779.88
Dell,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,512,0,950.15
Lenovo,AMD Octa-Core Ryzen 7,AMD,16,LPDDR4X,Radeon,512,0,900
Dell,Intel Core i5 (11th Gen),Intel,16,DDR4,Iris Xe,512,0,959.99
HP,Intel Core i5 (12th Gen),Intel,8,DDR4,GeForce GTX 1650,512,0,911.88
Lenovo,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,256,0,503.88
ASUS,AMD Octa-Core Ryzen 7,AMD,16,DDR4,Radeon,512,0,659.88
HP,Intel Core i5 (12th Gen),Intel,16,DDR4,Iris Xe,512,0,899.88
Acer,AMD Hexa-Core Ryzen 5,AMD,8,LPDDR4X,Radeon,512,0,599.88
